model_name,subset_name,binning_strategy,bin_index,bin_lower,bin_upper,sample_count,mean_predicted_probability,actual_up_ratio,probability_actual_gap,ece,mce,ece_definition
xgboost_fixed_v1,DENSE,equal_frequency,0,0.35180744528770447,0.44515010714530945,52475,0.42138906119152614,0.44114340161981896,-0.019754340428292827,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,DENSE,equal_frequency,1,0.44515037536621094,0.4636179208755493,52475,0.4553549175026191,0.4588851834206765,-0.0035302659180574403,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,DENSE,equal_frequency,2,0.4636182188987732,0.47726449370384216,52475,0.4703743192784953,0.47064316341114815,-0.0002688441326528235,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,DENSE,equal_frequency,3,0.477265328168869,0.49362239241600037,52475,0.48524154477712367,0.48840400190566935,-0.0031624571285456815,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,DENSE,equal_frequency,4,0.49362385272979736,0.5096305012702942,52474,0.5016559720733396,0.5039448107634257,-0.0022888386900861146,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,DENSE,equal_frequency,5,0.5096306204795837,0.5251976251602173,52475,0.5172692541624035,0.51456884230586,0.002700411856543572,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,DENSE,equal_frequency,6,0.5251978635787964,0.5422875285148621,52475,0.5335773492529597,0.5249356836588852,0.008641665594074532,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,DENSE,equal_frequency,7,0.5422884225845337,0.5579614639282227,52475,0.5504135830451217,0.5437446403049071,0.006668942740214567,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,DENSE,equal_frequency,8,0.5579614639282227,0.5785703659057617,52475,0.5674109830499661,0.5547022391615055,0.01270874388846055,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,DENSE,equal_frequency,9,0.5785703659057617,0.7912328839302063,52474,0.6033549476002449,0.581697602622251,0.021657344977993875,0.008138170919309578,0.021657344977993875,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,0,0.3541245758533478,0.44414231181144714,4373,0.41981236818260387,0.42327921335467644,-0.0034668451720725746,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,1,0.44414299726486206,0.4628966748714447,4373,0.4544580006201426,0.4434026983764006,0.01105530224374196,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,2,0.4628966748714447,0.4765501320362091,4373,0.46967153305350956,0.45552252458266634,0.014149008470843216,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,3,0.4765504002571106,0.49301692843437195,4373,0.48450486315297175,0.4738166018751429,0.010688261277828848,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,4,0.4930207431316376,0.5095400214195251,4372,0.5012859761755835,0.512580054894785,-0.011294078719201517,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,5,0.509540855884552,0.5258423686027527,4373,0.5175803614622282,0.510633432426252,0.006946929035976157,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,6,0.5258432030677795,0.5435097813606262,4373,0.5345014230272139,0.5387605762634348,-0.004259153236220836,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,7,0.543512225151062,0.5592044591903687,4373,0.5516808789462812,0.5522524582666362,-0.000571579320355009,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,8,0.5592066049575806,0.5799492597579956,4373,0.5686730699383256,0.5778641664761034,-0.009191096537777832,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
xgboost_fixed_v1,NONOVERLAP_OFFSET_00,equal_frequency,9,0.5799675583839417,0.7411713004112244,4372,0.6049518158483811,0.601555352241537,0.003396463606844091,0.00750187892457244,0.014149008470843216,sum over bins of (bin_sample_count / total_sample_count) * abs(mean_predicted_probability - actual_up_ratio)
