model_name,candidate_name,feature_name,mean_gain,std_gain,mean_normalized_gain,mean_rank,median_rank,used_fold_count,top10_fold_count
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,ema_distance_120,526.5714874267578,236.3191728672397,0.47521625070438683,1.0,1.0,5,5
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,ema_spread_20_60,743.6553375244141,678.5255033540528,0.10890929228913396,2.4,2.0,5,5
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_return_120m,158.35308990478515,87.58270956284792,0.10439857721137366,2.6,3.0,5,5
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,time_sin,68.17716903686524,24.42208629974862,0.04934244339715478,4.2,4.0,5,5
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,normalized_slope_60m,138.51100463867186,65.14718602955257,0.03319428428894264,7.8,6.0,5,4
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,range_position_120m,91.56620559692382,30.235267200436617,0.022851513532588325,7.0,6.0,5,5
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,buy_pressure_std_15m,54.73534088134765,16.283653563329704,0.021408032425762405,10.6,13.0,5,2
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,realized_volatility_120m,61.07993698120117,20.846502676946415,0.01730464828132592,9.0,7.0,5,3
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,momentum_acceleration_15_60,72.32677879333497,27.137255470852686,0.013474846497573037,10.0,11.0,5,2
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,ema_distance_60,289.0465591430664,251.78363418989156,0.013026042248107142,13.4,10.0,5,3
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,time_cos,54.34407272338867,18.294606081844208,0.012968305710818435,12.6,10.0,5,3
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,ema_spread_5_20,99.46203918457032,62.27732342008314,0.012506233310702641,12.2,11.0,5,2
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,ema_distance_20,74.0046989440918,23.837550025869533,0.011053827399052937,14.2,13.0,5,2
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,realized_volatility_60m,61.23801040649414,15.353356491982263,0.01064465909683488,13.4,12.0,5,1
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,efficiency_ratio_60m,34.17632942199707,22.65715379087705,0.008282447818251593,18.8,15.0,4,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_return_60m,379.0492740631104,589.1837164196095,0.007766176596461978,19.6,21.0,5,1
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,upper_wick_mean_15m,33.140235137939456,21.08624192356754,0.0072624838720827724,22.8,17.0,4,1
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,volume_ratio_15_60,39.92519607543945,10.184833871310751,0.006896208499203756,18.2,16.0,5,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_return_10m,69.60425033569337,29.605725114022896,0.006243727250744815,18.2,18.0,5,1
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,weekday_sin,41.59252586364746,19.58745747142873,0.005914050138795972,19.2,22.0,5,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,normalized_atr_60,36.17648887634277,9.199893721376448,0.004998402963218106,21.0,19.0,5,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,support_distance_60m,33.8389705657959,23.64413521153344,0.004338850754237797,25.0,20.0,4,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,realized_volatility_30m,51.88165817260742,20.953068987109837,0.003910403321117367,22.2,21.0,5,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,vwap_distance_60m,45.366495513916014,16.098049407636676,0.003749767260425859,21.8,22.0,5,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,taker_buy_quote_ratio_60m,29.359670639038086,21.947570600476084,0.0036219914708632297,31.0,23.0,4,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,semivariance_imbalance_60m,18.650348281860353,17.43525639987759,0.0027661835928253116,34.0,37.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_return_30m,12.079023742675782,11.690740776771698,0.002716742962741114,34.0,32.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,normalized_slope_15m,31.822277069091797,21.08716565473889,0.002475683697910842,28.6,26.0,4,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,momentum_acceleration_5_30,44.74180564880371,34.76005283362805,0.002354733327151787,27.6,28.0,4,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,close_location,20.353693389892577,20.502830022238186,0.0021262599939990212,36.2,30.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,volatility_ratio_15_120,12.090336990356445,11.762561540071,0.001927188109965109,35.4,37.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,resistance_distance_60m,36.093821334838864,28.397724805966146,0.0019265831498334282,31.2,31.0,4,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_return_5m,23.98639335632324,25.07887017238617,0.0016825437141159284,30.2,29.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_return_15m,45.05340347290039,56.15333170399152,0.0016701031325722486,30.2,32.0,4,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,taker_buy_quote_ratio_15m,16.798288345336914,19.72826959536483,0.0012475701092408394,42.4,36.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,normalized_atr_14,24.523981857299805,17.363836783144908,0.0012432137422447227,33.6,35.0,4,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,ema_distance_5,16.884135055541993,16.256064893578525,0.0009656903355533986,37.4,40.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,range_position_30m,16.504497528076172,16.37825709883902,0.0009591019508328079,37.8,39.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,upper_wick_ratio,25.58933753967285,17.6171837301553,0.0009351573829556616,36.6,38.0,4,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,range_position_60m,14.178877258300782,22.524853839837238,0.0007267389361655088,42.0,42.0,2,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,weekday_cos,21.195740509033204,26.826310955250534,0.0006193633618116286,47.0,46.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,lower_wick_mean_15m,18.839628791809083,20.617688668162636,0.0005742353218750038,44.6,43.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_return_3m,14.052534103393555,14.609898290112376,0.0004920941384467798,36.8,41.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,realized_volatility_15m,21.10493412017822,24.277521914962087,0.00046517412013505485,39.2,38.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,volume_ratio_5_60,17.012820434570312,18.47946143985069,0.00045338852016944874,46.0,45.0,3,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,buy_pressure_persistence_15m,11.118424224853516,17.399489011910607,0.0002727564383548443,53.6,59.0,2,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,efficiency_ratio_15m,3.27105712890625,7.314306098519667,0.00026725069776745175,41.6,44.0,1,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,buy_pressure_change_5_60,5.140494918823242,7.172045842155315,0.00024974042646240026,54.0,58.0,2,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_trade_count_zscore_60m,6.891049766540528,11.0466652316375,0.00023219154568762963,54.6,60.0,2,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,is_weekend,14.381258392333985,19.806291670097156,0.00022066139363949956,56.2,63.0,2,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,volatility_ratio_5_60,3.0427118301391602,6.803710488133955,0.00021752019457051721,45.0,47.0,1,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,lower_wick_ratio,2.5666536331176757,5.739211998347928,0.00018348731321401543,51.2,50.0,1,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,signed_body_mean_5m,7.156321716308594,12.277688136956867,0.00015368066698505226,50.6,50.0,2,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_quote_volume_zscore_60m,3.1847375869750976,5.1146248255206315,0.00015151877961210863,52.4,52.0,2,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,up_candle_ratio_15m,7.069132614135742,9.788925962806447,0.0001090823560253264,43.6,44.0,2,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,signed_body_ratio,2.438952827453613,5.453664316101595,7.472490959308393e-05,50.6,53.0,1,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,taker_buy_quote_ratio_5m,3.609743118286133,8.071630993799857,7.373047375098865e-05,57.6,57.0,1,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,realized_volatility_5m,2.8940994262695314,6.471403050781813,5.911315979809363e-05,46.0,50.0,1,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_return_1m,4.671849536895752,7.529492318441245,5.0590313632609414e-05,42.6,48.0,2,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,log_avg_trade_quote_size_zscore_60m,1.3097285270690917,2.928642018597162,4.012760712236318e-05,61.2,61.0,1,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,taker_buy_quote_ratio_1m,1.5964324951171875,3.5697315805716325,3.260778407754082e-05,57.4,58.0,1,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,absolute_body_ratio,0.0,0.0,0.0,52.6,54.0,0,0
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,is_zero_volume_1m,0.0,0.0,0.0,56.2,57.0,0,0
xgb_depth3_v1,xgb_depth3_v1,ema_distance_120,526.6864349365235,235.68680747504035,0.47691128647249936,1.0,1.0,5,5
xgb_depth3_v1,xgb_depth3_v1,ema_spread_20_60,746.5019226074219,666.0249974200765,0.10787473519454824,2.4,2.0,5,5
xgb_depth3_v1,xgb_depth3_v1,log_return_120m,157.67449493408202,83.92859480478923,0.10391334816400341,2.6,3.0,5,5
xgb_depth3_v1,xgb_depth3_v1,time_sin,69.81587677001953,25.430207977648596,0.048993095182258736,4.2,4.0,5,5
xgb_depth3_v1,xgb_depth3_v1,normalized_slope_60m,98.82622833251953,77.44591116739052,0.03336313912452275,12.8,6.0,4,4
xgb_depth3_v1,xgb_depth3_v1,range_position_120m,92.17260055541992,29.877569366073256,0.022944661274710308,6.6,6.0,5,5
xgb_depth3_v1,xgb_depth3_v1,buy_pressure_std_15m,57.4679759979248,21.200503442965168,0.0209623726284,10.6,13.0,5,2
xgb_depth3_v1,xgb_depth3_v1,realized_volatility_120m,59.659994506835936,17.651850356200587,0.017486342510114963,9.2,8.0,5,3
xgb_depth3_v1,xgb_depth3_v1,momentum_acceleration_15_60,75.61164855957031,28.51743373687385,0.013805395839006954,10.2,12.0,5,2
xgb_depth3_v1,xgb_depth3_v1,time_cos,56.25593223571777,19.54504853865939,0.01320163133464351,12.4,10.0,5,3
xgb_depth3_v1,xgb_depth3_v1,ema_distance_60,308.38714599609375,255.4593632068655,0.01306799484516058,13.4,10.0,5,3
xgb_depth3_v1,xgb_depth3_v1,ema_spread_5_20,85.9625129699707,35.38151289785165,0.011543742487026925,13.6,15.0,5,1
xgb_depth3_v1,xgb_depth3_v1,ema_distance_20,74.16722946166992,21.601896122151008,0.01142271869167474,13.4,13.0,5,2
xgb_depth3_v1,xgb_depth3_v1,realized_volatility_60m,59.31324234008789,15.376666524944786,0.010640466604536856,12.8,12.0,5,1
xgb_depth3_v1,xgb_depth3_v1,log_return_60m,384.9973274230957,588.2891561305813,0.008700007236803264,18.2,21.0,5,2
xgb_depth3_v1,xgb_depth3_v1,efficiency_ratio_60m,35.378543853759766,22.712338116262718,0.007917621464736041,18.4,16.0,4,0
xgb_depth3_v1,xgb_depth3_v1,upper_wick_mean_15m,33.426945495605466,21.902181739016463,0.007005186545150305,22.6,18.0,4,1
xgb_depth3_v1,xgb_depth3_v1,volume_ratio_15_60,41.14242820739746,11.590604309451301,0.006148486766208287,19.0,19.0,5,0
xgb_depth3_v1,xgb_depth3_v1,log_return_10m,67.8007640838623,30.26108463206,0.0061290473871755185,18.2,17.0,5,1
xgb_depth3_v1,xgb_depth3_v1,weekday_sin,42.558484649658205,19.81854820361789,0.006006785658747363,19.6,23.0,5,0
xgb_depth3_v1,xgb_depth3_v1,normalized_atr_60,36.51728973388672,8.313026548191813,0.0051905435938446815,20.8,20.0,5,0
xgb_depth3_v1,xgb_depth3_v1,support_distance_60m,32.58001174926758,22.97250239170669,0.004304443472561313,24.6,21.0,4,0
xgb_depth3_v1,xgb_depth3_v1,realized_volatility_30m,54.091926193237306,21.73526390622446,0.004264440298423098,21.4,20.0,5,0
xgb_depth3_v1,xgb_depth3_v1,vwap_distance_60m,44.838946151733396,14.473251791720296,0.00424612894047848,20.8,21.0,5,0
xgb_depth3_v1,xgb_depth3_v1,taker_buy_quote_ratio_60m,27.402358627319337,18.312903950616523,0.0035322790574686567,30.2,25.0,4,0
xgb_depth3_v1,xgb_depth3_v1,log_return_30m,9.763757705688477,13.445767640252978,0.002627801402471172,32.6,32.0,2,0
xgb_depth3_v1,xgb_depth3_v1,semivariance_imbalance_60m,22.980874633789064,22.547729589891766,0.002611844364266243,34.6,39.0,3,0
xgb_depth3_v1,xgb_depth3_v1,momentum_acceleration_5_30,43.441903305053714,35.76415980883189,0.0023242223429578803,27.2,29.0,4,0
xgb_depth3_v1,xgb_depth3_v1,normalized_slope_15m,35.54578628540039,26.15797984986393,0.0022732261156272323,29.2,27.0,4,0
xgb_depth3_v1,xgb_depth3_v1,close_location,20.59274253845215,20.61841698023272,0.0022358490331076965,36.2,30.0,3,0
xgb_depth3_v1,xgb_depth3_v1,volatility_ratio_15_120,14.332798767089844,13.10841499249026,0.002168833369701085,34.2,38.0,3,0
xgb_depth3_v1,xgb_depth3_v1,resistance_distance_60m,26.3921142578125,30.89044359533046,0.0016535970430318632,35.8,33.0,3,0
xgb_depth3_v1,xgb_depth3_v1,log_return_15m,47.359489822387694,55.7721566990796,0.0015717291407844926,31.8,36.0,4,0
xgb_depth3_v1,xgb_depth3_v1,log_return_5m,22.399332809448243,22.90904799084866,0.001500021054439519,30.2,29.0,3,0
xgb_depth3_v1,xgb_depth3_v1,normalized_atr_14,25.795185852050782,17.919436013184566,0.0012406094345575928,33.4,32.0,4,0
xgb_depth3_v1,xgb_depth3_v1,taker_buy_quote_ratio_15m,16.024909210205077,17.859689425816736,0.0011259251544468941,42.6,39.0,3,0
xgb_depth3_v1,xgb_depth3_v1,upper_wick_ratio,26.02950325012207,17.587855048976383,0.0009808665931461615,36.4,37.0,4,0
xgb_depth3_v1,xgb_depth3_v1,ema_distance_5,19.644129943847656,20.35743699488828,0.0009568969160968245,37.8,40.0,3,0
xgb_depth3_v1,xgb_depth3_v1,range_position_30m,17.720208740234376,16.64742767231929,0.0009537223170895653,37.8,38.0,3,0
xgb_depth3_v1,xgb_depth3_v1,range_position_60m,3.7633129119873048,8.415023491806297,0.0007554507328003601,44.6,44.0,1,0
xgb_depth3_v1,xgb_depth3_v1,volume_ratio_5_60,27.497152709960936,19.981232766247125,0.0007236974074998918,39.0,36.0,4,0
xgb_depth3_v1,xgb_depth3_v1,lower_wick_mean_15m,17.94679374694824,18.35792243497649,0.0006646815338005308,43.4,42.0,3,0
xgb_depth3_v1,xgb_depth3_v1,weekday_cos,21.6720027923584,26.804302277834598,0.000628677767863558,46.2,42.0,3,0
xgb_depth3_v1,xgb_depth3_v1,log_return_3m,7.8181007385253904,10.728663660738635,0.0004838939843894899,36.8,40.0,2,0
xgb_depth3_v1,xgb_depth3_v1,realized_volatility_15m,16.586378479003905,25.420981493102015,0.00046266570861163705,40.4,36.0,2,0
xgb_depth3_v1,xgb_depth3_v1,buy_pressure_change_5_60,5.330536842346191,7.299558703508391,0.0003669888122125607,52.8,58.0,2,0
xgb_depth3_v1,xgb_depth3_v1,log_trade_count_zscore_60m,8.197312545776366,11.79098304300107,0.00032433265575024657,54.6,60.0,2,0
xgb_depth3_v1,xgb_depth3_v1,up_candle_ratio_15m,10.299382781982422,9.677113802837237,0.0002943379215182204,41.4,43.0,3,0
xgb_depth3_v1,xgb_depth3_v1,lower_wick_ratio,2.5645845413208006,5.734585368438428,0.00023166762038966427,50.8,48.0,1,0
xgb_depth3_v1,xgb_depth3_v1,efficiency_ratio_15m,3.2803783416748047,7.335148963902895,0.0002304770998373124,42.0,47.0,1,0
xgb_depth3_v1,xgb_depth3_v1,volatility_ratio_5_60,2.631120491027832,5.883364274930857,0.0001848606999822849,45.2,50.0,1,0
xgb_depth3_v1,xgb_depth3_v1,is_weekend,6.645433044433593,14.859640027276894,0.0001334010027554449,60.8,63.0,1,0
xgb_depth3_v1,xgb_depth3_v1,signed_body_mean_5m,7.185882663726806,12.216755465693241,0.00012658165388590626,50.6,50.0,2,0
xgb_depth3_v1,xgb_depth3_v1,log_quote_volume_zscore_60m,4.140765762329101,6.223160416671425,0.0001244199221667188,52.8,53.0,2,0
xgb_depth3_v1,xgb_depth3_v1,buy_pressure_persistence_15m,9.35766372680664,16.778094301344247,0.00010481755882773553,55.4,60.0,2,0
xgb_depth3_v1,xgb_depth3_v1,realized_volatility_5m,2.2884841918945313,5.117206218509845,9.187846268180548e-05,44.4,48.0,1,0
xgb_depth3_v1,xgb_depth3_v1,taker_buy_quote_ratio_1m,2.472950553894043,5.529685543502838,7.446333586545266e-05,56.2,56.0,1,0
xgb_depth3_v1,xgb_depth3_v1,signed_body_ratio,2.7641834259033202,6.180902042598078,5.5488459269686756e-05,50.8,53.0,1,0
xgb_depth3_v1,xgb_depth3_v1,log_avg_trade_quote_size_zscore_60m,1.6993425369262696,3.799845429624085,5.116912744811389e-05,60.8,61.0,1,0
xgb_depth3_v1,xgb_depth3_v1,log_return_1m,4.306730651855469,7.527338892827685,4.8118596546523106e-05,41.6,44.0,2,0
xgb_depth3_v1,xgb_depth3_v1,taker_buy_quote_ratio_5m,1.8374374389648438,4.108635017928512,3.688487946825722e-05,57.8,59.0,1,0
xgb_depth3_v1,xgb_depth3_v1,absolute_body_ratio,0.0,0.0,0.0,52.6,54.0,0,0
xgb_depth3_v1,xgb_depth3_v1,is_zero_volume_1m,0.0,0.0,0.0,56.2,56.0,0,0
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,ema_distance_120,452.827001953125,193.36743880558902,0.43510002679922477,1.0,1.0,5,5
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,ema_spread_20_60,439.3208862304688,306.54680565357324,0.10433348036656546,2.4,2.0,5,5
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,log_return_120m,94.36950073242187,35.562203969098654,0.09324134045537069,2.6,3.0,5,5
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,time_sin,55.0068977355957,16.55065142751138,0.04946962236457024,4.2,4.0,5,5
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,normalized_slope_60m,75.84536743164062,6.555876536798575,0.030789118745908096,9.0,7.0,5,4
