candidate_name,model_name,fold_name,inner_fit_count,inner_purged_count,inner_early_stop_count,inner_early_stop_start,inner_fit_min_decision_time,inner_fit_max_decision_time,inner_fit_max_settlement_minute_open_time,inner_early_stop_min_decision_time,inner_early_stop_max_decision_time,inner_early_stop_max_settlement_minute_open_time,inner_fit_label_distribution,inner_early_stop_label_distribution,inner_fit_dataset_row_id_sha256,inner_purged_dataset_row_id_sha256,inner_early_stop_dataset_row_id_sha256,outer_validation_used_for_early_stopping,final_test_used_for_early_stopping,same_inner_split_as_other_candidates,stage7_inner_early_stop_hash_match
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2020,208686,12,25721,1570060800000,1506830400000,1570056900000,1570060500000,1570060800000,1577832900000,1577836500000,"{'0': 101439, '1': 107247}","{'0': 12807, '1': 12914}",22baa9756d1ab5c9611b58e57f5ffc7444a944f5f1c5fcb2fa3f6a1357b3cb45,a1a6ba99dd55c80699f53cb7b458c67d142f1d359370049998547301a7471517,50266c3d8cd9192fa6817fbf0068f45978f01173acb0696b6b22fe3166ac7396,False,False,True,True
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,313428,12,25654,1601683200000,1506830400000,1601679300000,1601682900000,1601683200000,1609455300000,1609458900000,"{'0': 152907, '1': 160521}","{'0': 11825, '1': 13829}",d11bbe0b5509d5012b6edca5c52061687a2130d680069b89bbfe964b82e0c6d4,f484c9c3bf325ecad04f1ab0994bf4aee6e968164ce914486d2dba2458a7e824,ea04b1fa6b1c72d48cdc1cef9fc14ec92f0f9af1e12c3bfdffb4dad9b85a2b12,False,False,True,True
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,417735,12,25908,1633219200000,1506830400000,1633215300000,1633218900000,1633219200000,1640991300000,1640994900000,"{'0': 202968, '1': 214767}","{'0': 13342, '1': 12566}",62b1b1727945dd64b40d361e8df405093df48f33f795f626060cf9086d9f8186,3d97910eaf87a888b539ddaed8e5ad7745ccf6fa94dd5917c57c5c8c9d97c56b,c0d6174e7509d7e26e020f3c36749de1a32faf55e6ee804270eb5063a9efcf3c,False,False,True,True
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2023,522855,12,25908,1664755200000,1506830400000,1664751300000,1664754900000,1664755200000,1672527300000,1672530900000,"{'0': 255953, '1': 266902}","{'0': 12998, '1': 12910}",adcf5f0d9fadbde0ed2064b22490aa9c47071a03299d07c40eb81364d6744c35,17b907166095de9708b3a47269ce8abc9988c3f17ec72a9247b6f3e2de588f49,fe9101d597c1a2ee2122a11d447b51950b532ede9fc7d802a75f67a298b89cfc,False,False,True,True
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2024,627899,12,25908,1696291200000,1506830400000,1696287300000,1696290900000,1696291200000,1704063300000,1704066900000,"{'0': 308223, '1': 319676}","{'0': 12493, '1': 13415}",291c3c49d49914b1ca526570ce45c4fbace0e50a2ab38e8c159ce6b85940f6e2,72978d83e315571124f34bab2aabb95cd3dba8401f166218ec18552a0870c5b9,e1a7c0538e2901ce7ee0941fc36e83054b7331487bd7cdc545eba99904e33446,False,False,True,True
xgb_depth3_v1,xgb_depth3_v1,fold_2020,208686,12,25721,1570060800000,1506830400000,1570056900000,1570060500000,1570060800000,1577832900000,1577836500000,"{'0': 101439, '1': 107247}","{'0': 12807, '1': 12914}",22baa9756d1ab5c9611b58e57f5ffc7444a944f5f1c5fcb2fa3f6a1357b3cb45,a1a6ba99dd55c80699f53cb7b458c67d142f1d359370049998547301a7471517,50266c3d8cd9192fa6817fbf0068f45978f01173acb0696b6b22fe3166ac7396,False,False,True,True
xgb_depth3_v1,xgb_depth3_v1,fold_2021,313428,12,25654,1601683200000,1506830400000,1601679300000,1601682900000,1601683200000,1609455300000,1609458900000,"{'0': 152907, '1': 160521}","{'0': 11825, '1': 13829}",d11bbe0b5509d5012b6edca5c52061687a2130d680069b89bbfe964b82e0c6d4,f484c9c3bf325ecad04f1ab0994bf4aee6e968164ce914486d2dba2458a7e824,ea04b1fa6b1c72d48cdc1cef9fc14ec92f0f9af1e12c3bfdffb4dad9b85a2b12,False,False,True,True
xgb_depth3_v1,xgb_depth3_v1,fold_2022,417735,12,25908,1633219200000,1506830400000,1633215300000,1633218900000,1633219200000,1640991300000,1640994900000,"{'0': 202968, '1': 214767}","{'0': 13342, '1': 12566}",62b1b1727945dd64b40d361e8df405093df48f33f795f626060cf9086d9f8186,3d97910eaf87a888b539ddaed8e5ad7745ccf6fa94dd5917c57c5c8c9d97c56b,c0d6174e7509d7e26e020f3c36749de1a32faf55e6ee804270eb5063a9efcf3c,False,False,True,True
xgb_depth3_v1,xgb_depth3_v1,fold_2023,522855,12,25908,1664755200000,1506830400000,1664751300000,1664754900000,1664755200000,1672527300000,1672530900000,"{'0': 255953, '1': 266902}","{'0': 12998, '1': 12910}",adcf5f0d9fadbde0ed2064b22490aa9c47071a03299d07c40eb81364d6744c35,17b907166095de9708b3a47269ce8abc9988c3f17ec72a9247b6f3e2de588f49,fe9101d597c1a2ee2122a11d447b51950b532ede9fc7d802a75f67a298b89cfc,False,False,True,True
xgb_depth3_v1,xgb_depth3_v1,fold_2024,627899,12,25908,1696291200000,1506830400000,1696287300000,1696290900000,1696291200000,1704063300000,1704066900000,"{'0': 308223, '1': 319676}","{'0': 12493, '1': 13415}",291c3c49d49914b1ca526570ce45c4fbace0e50a2ab38e8c159ce6b85940f6e2,72978d83e315571124f34bab2aabb95cd3dba8401f166218ec18552a0870c5b9,e1a7c0538e2901ce7ee0941fc36e83054b7331487bd7cdc545eba99904e33446,False,False,True,True
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,fold_2020,208686,12,25721,1570060800000,1506830400000,1570056900000,1570060500000,1570060800000,1577832900000,1577836500000,"{'0': 101439, '1': 107247}","{'0': 12807, '1': 12914}",22baa9756d1ab5c9611b58e57f5ffc7444a944f5f1c5fcb2fa3f6a1357b3cb45,a1a6ba99dd55c80699f53cb7b458c67d142f1d359370049998547301a7471517,50266c3d8cd9192fa6817fbf0068f45978f01173acb0696b6b22fe3166ac7396,False,False,True,True
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,fold_2021,313428,12,25654,1601683200000,1506830400000,1601679300000,1601682900000,1601683200000,1609455300000,1609458900000,"{'0': 152907, '1': 160521}","{'0': 11825, '1': 13829}",d11bbe0b5509d5012b6edca5c52061687a2130d680069b89bbfe964b82e0c6d4,f484c9c3bf325ecad04f1ab0994bf4aee6e968164ce914486d2dba2458a7e824,ea04b1fa6b1c72d48cdc1cef9fc14ec92f0f9af1e12c3bfdffb4dad9b85a2b12,False,False,True,True
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,fold_2022,417735,12,25908,1633219200000,1506830400000,1633215300000,1633218900000,1633219200000,1640991300000,1640994900000,"{'0': 202968, '1': 214767}","{'0': 13342, '1': 12566}",62b1b1727945dd64b40d361e8df405093df48f33f795f626060cf9086d9f8186,3d97910eaf87a888b539ddaed8e5ad7745ccf6fa94dd5917c57c5c8c9d97c56b,c0d6174e7509d7e26e020f3c36749de1a32faf55e6ee804270eb5063a9efcf3c,False,False,True,True
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,fold_2023,522855,12,25908,1664755200000,1506830400000,1664751300000,1664754900000,1664755200000,1672527300000,1672530900000,"{'0': 255953, '1': 266902}","{'0': 12998, '1': 12910}",adcf5f0d9fadbde0ed2064b22490aa9c47071a03299d07c40eb81364d6744c35,17b907166095de9708b3a47269ce8abc9988c3f17ec72a9247b6f3e2de588f49,fe9101d597c1a2ee2122a11d447b51950b532ede9fc7d802a75f67a298b89cfc,False,False,True,True
xgb_depth3_regularized_v1,xgb_depth3_regularized_v1,fold_2024,627899,12,25908,1696291200000,1506830400000,1696287300000,1696290900000,1696291200000,1704063300000,1704066900000,"{'0': 308223, '1': 319676}","{'0': 12493, '1': 13415}",291c3c49d49914b1ca526570ce45c4fbace0e50a2ab38e8c159ce6b85940f6e2,72978d83e315571124f34bab2aabb95cd3dba8401f166218ec18552a0870c5b9,e1a7c0538e2901ce7ee0941fc36e83054b7331487bd7cdc545eba99904e33446,False,False,True,True
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,fold_2020,208686,12,25721,1570060800000,1506830400000,1570056900000,1570060500000,1570060800000,1577832900000,1577836500000,"{'0': 101439, '1': 107247}","{'0': 12807, '1': 12914}",22baa9756d1ab5c9611b58e57f5ffc7444a944f5f1c5fcb2fa3f6a1357b3cb45,a1a6ba99dd55c80699f53cb7b458c67d142f1d359370049998547301a7471517,50266c3d8cd9192fa6817fbf0068f45978f01173acb0696b6b22fe3166ac7396,False,False,True,True
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,fold_2021,313428,12,25654,1601683200000,1506830400000,1601679300000,1601682900000,1601683200000,1609455300000,1609458900000,"{'0': 152907, '1': 160521}","{'0': 11825, '1': 13829}",d11bbe0b5509d5012b6edca5c52061687a2130d680069b89bbfe964b82e0c6d4,f484c9c3bf325ecad04f1ab0994bf4aee6e968164ce914486d2dba2458a7e824,ea04b1fa6b1c72d48cdc1cef9fc14ec92f0f9af1e12c3bfdffb4dad9b85a2b12,False,False,True,True
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,fold_2022,417735,12,25908,1633219200000,1506830400000,1633215300000,1633218900000,1633219200000,1640991300000,1640994900000,"{'0': 202968, '1': 214767}","{'0': 13342, '1': 12566}",62b1b1727945dd64b40d361e8df405093df48f33f795f626060cf9086d9f8186,3d97910eaf87a888b539ddaed8e5ad7745ccf6fa94dd5917c57c5c8c9d97c56b,c0d6174e7509d7e26e020f3c36749de1a32faf55e6ee804270eb5063a9efcf3c,False,False,True,True
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,fold_2023,522855,12,25908,1664755200000,1506830400000,1664751300000,1664754900000,1664755200000,1672527300000,1672530900000,"{'0': 255953, '1': 266902}","{'0': 12998, '1': 12910}",adcf5f0d9fadbde0ed2064b22490aa9c47071a03299d07c40eb81364d6744c35,17b907166095de9708b3a47269ce8abc9988c3f17ec72a9247b6f3e2de588f49,fe9101d597c1a2ee2122a11d447b51950b532ede9fc7d802a75f67a298b89cfc,False,False,True,True
xgb_depth4_regularized_v1,xgb_depth4_regularized_v1,fold_2024,627899,12,25908,1696291200000,1506830400000,1696287300000,1696290900000,1696291200000,1704063300000,1704066900000,"{'0': 308223, '1': 319676}","{'0': 12493, '1': 13415}",291c3c49d49914b1ca526570ce45c4fbace0e50a2ab38e8c159ce6b85940f6e2,72978d83e315571124f34bab2aabb95cd3dba8401f166218ec18552a0870c5b9,e1a7c0538e2901ce7ee0941fc36e83054b7331487bd7cdc545eba99904e33446,False,False,True,True
xgb_depth5_regularized_v1,xgb_depth5_regularized_v1,fold_2020,208686,12,25721,1570060800000,1506830400000,1570056900000,1570060500000,1570060800000,1577832900000,1577836500000,"{'0': 101439, '1': 107247}","{'0': 12807, '1': 12914}",22baa9756d1ab5c9611b58e57f5ffc7444a944f5f1c5fcb2fa3f6a1357b3cb45,a1a6ba99dd55c80699f53cb7b458c67d142f1d359370049998547301a7471517,50266c3d8cd9192fa6817fbf0068f45978f01173acb0696b6b22fe3166ac7396,False,False,True,True
xgb_depth5_regularized_v1,xgb_depth5_regularized_v1,fold_2021,313428,12,25654,1601683200000,1506830400000,1601679300000,1601682900000,1601683200000,1609455300000,1609458900000,"{'0': 152907, '1': 160521}","{'0': 11825, '1': 13829}",d11bbe0b5509d5012b6edca5c52061687a2130d680069b89bbfe964b82e0c6d4,f484c9c3bf325ecad04f1ab0994bf4aee6e968164ce914486d2dba2458a7e824,ea04b1fa6b1c72d48cdc1cef9fc14ec92f0f9af1e12c3bfdffb4dad9b85a2b12,False,False,True,True
xgb_depth5_regularized_v1,xgb_depth5_regularized_v1,fold_2022,417735,12,25908,1633219200000,1506830400000,1633215300000,1633218900000,1633219200000,1640991300000,1640994900000,"{'0': 202968, '1': 214767}","{'0': 13342, '1': 12566}",62b1b1727945dd64b40d361e8df405093df48f33f795f626060cf9086d9f8186,3d97910eaf87a888b539ddaed8e5ad7745ccf6fa94dd5917c57c5c8c9d97c56b,c0d6174e7509d7e26e020f3c36749de1a32faf55e6ee804270eb5063a9efcf3c,False,False,True,True
xgb_depth5_regularized_v1,xgb_depth5_regularized_v1,fold_2023,522855,12,25908,1664755200000,1506830400000,1664751300000,1664754900000,1664755200000,1672527300000,1672530900000,"{'0': 255953, '1': 266902}","{'0': 12998, '1': 12910}",adcf5f0d9fadbde0ed2064b22490aa9c47071a03299d07c40eb81364d6744c35,17b907166095de9708b3a47269ce8abc9988c3f17ec72a9247b6f3e2de588f49,fe9101d597c1a2ee2122a11d447b51950b532ede9fc7d802a75f67a298b89cfc,False,False,True,True
xgb_depth5_regularized_v1,xgb_depth5_regularized_v1,fold_2024,627899,12,25908,1696291200000,1506830400000,1696287300000,1696290900000,1696291200000,1704063300000,1704066900000,"{'0': 308223, '1': 319676}","{'0': 12493, '1': 13415}",291c3c49d49914b1ca526570ce45c4fbace0e50a2ab38e8c159ce6b85940f6e2,72978d83e315571124f34bab2aabb95cd3dba8401f166218ec18552a0870c5b9,e1a7c0538e2901ce7ee0941fc36e83054b7331487bd7cdc545eba99904e33446,False,False,True,True
xgb_low_learning_rate_v1,xgb_low_learning_rate_v1,fold_2020,208686,12,25721,1570060800000,1506830400000,1570056900000,1570060500000,1570060800000,1577832900000,1577836500000,"{'0': 101439, '1': 107247}","{'0': 12807, '1': 12914}",22baa9756d1ab5c9611b58e57f5ffc7444a944f5f1c5fcb2fa3f6a1357b3cb45,a1a6ba99dd55c80699f53cb7b458c67d142f1d359370049998547301a7471517,50266c3d8cd9192fa6817fbf0068f45978f01173acb0696b6b22fe3166ac7396,False,False,True,True
xgb_low_learning_rate_v1,xgb_low_learning_rate_v1,fold_2021,313428,12,25654,1601683200000,1506830400000,1601679300000,1601682900000,1601683200000,1609455300000,1609458900000,"{'0': 152907, '1': 160521}","{'0': 11825, '1': 13829}",d11bbe0b5509d5012b6edca5c52061687a2130d680069b89bbfe964b82e0c6d4,f484c9c3bf325ecad04f1ab0994bf4aee6e968164ce914486d2dba2458a7e824,ea04b1fa6b1c72d48cdc1cef9fc14ec92f0f9af1e12c3bfdffb4dad9b85a2b12,False,False,True,True
xgb_low_learning_rate_v1,xgb_low_learning_rate_v1,fold_2022,417735,12,25908,1633219200000,1506830400000,1633215300000,1633218900000,1633219200000,1640991300000,1640994900000,"{'0': 202968, '1': 214767}","{'0': 13342, '1': 12566}",62b1b1727945dd64b40d361e8df405093df48f33f795f626060cf9086d9f8186,3d97910eaf87a888b539ddaed8e5ad7745ccf6fa94dd5917c57c5c8c9d97c56b,c0d6174e7509d7e26e020f3c36749de1a32faf55e6ee804270eb5063a9efcf3c,False,False,True,True
xgb_low_learning_rate_v1,xgb_low_learning_rate_v1,fold_2023,522855,12,25908,1664755200000,1506830400000,1664751300000,1664754900000,1664755200000,1672527300000,1672530900000,"{'0': 255953, '1': 266902}","{'0': 12998, '1': 12910}",adcf5f0d9fadbde0ed2064b22490aa9c47071a03299d07c40eb81364d6744c35,17b907166095de9708b3a47269ce8abc9988c3f17ec72a9247b6f3e2de588f49,fe9101d597c1a2ee2122a11d447b51950b532ede9fc7d802a75f67a298b89cfc,False,False,True,True
xgb_low_learning_rate_v1,xgb_low_learning_rate_v1,fold_2024,627899,12,25908,1696291200000,1506830400000,1696287300000,1696290900000,1696291200000,1704063300000,1704066900000,"{'0': 308223, '1': 319676}","{'0': 12493, '1': 13415}",291c3c49d49914b1ca526570ce45c4fbace0e50a2ab38e8c159ce6b85940f6e2,72978d83e315571124f34bab2aabb95cd3dba8401f166218ec18552a0870c5b9,e1a7c0538e2901ce7ee0941fc36e83054b7331487bd7cdc545eba99904e33446,False,False,True,True
