method,calibration_fold,subset_name,sample_count,positive_count,negative_count,positive_ratio,accuracy,balanced_accuracy,roc_auc,roc_auc_missing_reason,average_precision,pr_auc_lift_vs_positive_ratio,mcc,precision,recall,f1,specificity,negative_predictive_value,log_loss,brier_score,tn,fp,fn,tp,mean_predicted_probability,predicted_positive_ratio,ece_equal_width,mce_equal_width,ece_equal_frequency,mce_equal_frequency,mean_probability,observed_positive_rate
UNCALIBRATED,calibration_2021,DENSE,104549.0,52981.0,51568.0,0.5067575969162785,0.5230083501516035,0.5215689103106838,0.5307575372136961,,0.5309131773122656,1.0476669329537014,0.04415281285538191,0.5245271122320303,0.6280742152847247,0.5716494446878141,0.4150636053366429,0.5206645746673478,0.6924006837716619,0.24962310641102045,21404.0,30164.0,19705.0,33276.0,0.5157671857324762,0.6067968129776469,0.0159868453543575,0.09228157504399626,0.01690532772797302,0.03572438962148283,0.5157671857324762,0.5067575969162785
UNCALIBRATED,calibration_2021,NONOVERLAP_OFFSET_00,8712.0,4390.0,4322.0,0.5039026629935721,0.5308769513314968,0.5300948476776655,0.5474937518380822,,0.542531663975807,1.0766596484185034,0.06144017088337208,0.5289619575606959,0.6302961275626424,0.5752000831514397,0.42989356779268856,0.5337546681987935,0.6900809846007347,0.24846995176068803,1858.0,2464.0,1623.0,2767.0,0.5156443266384475,0.6004361799816346,0.01174166364487538,0.12813768888774674,0.018333875330436983,0.044581288659791274,0.5156443266384475,0.5039026629935721
UNCALIBRATED,calibration_2022,DENSE,105108.0,52484.0,52624.0,0.49933401834303764,0.5427750504243255,0.5428704477519147,0.5586300576490392,,0.5464349305368412,1.09432746511063,0.08663278669084139,0.5368366735468406,0.6144920356680131,0.573045486851457,0.4712488598358164,0.5506972819328477,0.6882495388748113,0.24755802885729938,24799.0,27825.0,20233.0,32251.0,0.5094689203593318,0.5715644860524413,0.010134902016294162,0.14876441657543182,0.011943063812302226,0.023288151169013782,0.5094689203593318,0.49933401834303764
UNCALIBRATED,calibration_2022,NONOVERLAP_OFFSET_00,8759.0,4359.0,4400.0,0.49765955017696084,0.5538303459299007,0.5541764948174102,0.5715398913428852,,0.5572664018911815,1.1197743551651431,0.10954825942890001,0.5448756218905473,0.6281257169075476,0.583546462063086,0.4802272727272727,0.5658810926620247,0.6861842570038086,0.24653269872117917,2113.0,2287.0,1621.0,2738.0,0.50985699734169,0.5736956273547209,0.014111591461981652,0.3992187976837158,0.01704795023175268,0.03793392585564964,0.50985699734169,0.49765955017696084
UNCALIBRATED,calibration_2023,DENSE,105032.0,53266.0,51766.0,0.507140680935334,0.5415397212278162,0.5410114061695004,0.5519983564716784,,0.5452552280440334,1.075155767504992,0.08224707214674187,0.5452774383224412,0.5780047309728532,0.5611643230139708,0.5040180813661477,0.5371945067841627,0.689721474657912,0.2482749265121709,26091.0,25675.0,22478.0,30788.0,0.5122610609585451,0.5375790235356843,0.010401599337587665,0.05116165987516963,0.013780177117099985,0.04697021435388293,0.5122610609585451,0.507140680935334
UNCALIBRATED,calibration_2023,NONOVERLAP_OFFSET_00,8753.0,4494.0,4259.0,0.51342396892494,0.5584371072775048,0.557464791175482,0.5709195313299211,,0.5677120389702306,1.1057373113276432,0.1152171542044899,0.5668153813469301,0.5936804628393414,0.5799369633735464,0.5212491195116224,0.5486900642609985,0.6853858844908931,0.2461330453720434,2220.0,2039.0,1826.0,2668.0,0.5127292554793624,0.5377584828058951,0.006959284606911994,0.033726633659430905,0.013579487810812578,0.02464197346142355,0.5127292554793624,0.51342396892494
UNCALIBRATED,calibration_2024,DENSE,105396.0,53798.0,51598.0,0.5104368287221527,0.5295741773881362,0.5284230189543181,0.5409103758694245,,0.5452194014786056,1.0681427569470818,0.057190164741212926,0.5359978146927765,0.5835718799955388,0.5587740609231919,0.4732741579130974,0.521538560109348,0.6905106453406751,0.248684443107061,24420.0,27178.0,22403.0,31395.0,0.5083524348695182,0.5557421534024062,0.002084393852634473,0.0029004577070660953,0.009846767185059982,0.0180311951454043,0.5083524348695182,0.5104368287221527
UNCALIBRATED,calibration_2024,NONOVERLAP_OFFSET_00,8783.0,4493.0,4290.0,0.5115564158032563,0.5427530456563816,0.5416345135686333,0.5549158312568061,,0.5573160352242059,1.0894517554805698,0.08365536381355082,0.5494300518134715,0.5900289338971734,0.5690062245116977,0.4932400932400932,0.5346134411318848,0.688856158933806,0.24785920007382672,2116.0,2174.0,1842.0,2651.0,0.508469708610827,0.5493567118296709,0.012098157004100472,0.013820586760427078,0.019556362998386492,0.0412216616775396,0.508469708610827,0.5115564158032563
UNCALIBRATED,POOLED_2021_2024,DENSE,420085.0,212529.0,207556.0,0.5059190401942464,0.5342347382077437,0.5334360204519564,0.5454786250631471,,0.5408994193177621,1.0691422467715093,0.06749195372131196,0.5353549750159294,0.6009062292675352,0.5662397662504074,0.4659658116363776,0.5327626381980136,0.6902179737964763,0.2485338279072972,96714.0,110842.0,84819.0,127710.0,0.5114543955684657,0.5678660271135604,0.006041686735751165,0.04603540347992108,0.0067744081254923075,0.026952842107513364,0.5114543955684657,0.5059190401942464
UNCALIBRATED,FOLD_MACRO_MEAN,DENSE,105021.25,53132.25,51889.0,0.5059172812292008,0.5342243247979703,0.5334684457966042,0.5455740818009596,,0.5419556843429365,1.0713232306291012,0.06755570910854453,0.5356597596985222,0.6010357154802825,0.5661583288691084,0.4659011761129261,0.5325237308734265,0.6902205856612651,0.24853512622188795,24178.5,27710.5,21204.75,31927.5,0.5114624004799677,0.5679206189920446,0.00965193514021845,0.07377702730041595,0.013118833960608802,0.031003487572445962,0.5114624004799677,0.5059172812292008
UNCALIBRATED,FOLD_STD,DENSE,351.70951555699105,549.0041742403544,497.6866484043951,0.004689296218136815,0.009557752383347244,0.01020374390042345,0.012288340773712818,,0.007383302020215028,0.019266715474580934,0.020288840118552014,0.00852320341013639,0.024135484401527903,0.007235394612286314,0.037059931868719524,0.01429927350548323,0.001729267630784087,0.0008618622420791961,1983.166575622599,1867.225124795258,1443.4353408910747,1080.9133483617763,0.0033073092648357332,0.029402741736757883,0.005721131064533044,0.06191518337903088,0.002992421886823732,0.012974719867245247,0.0033073092648357332,0.004689296218136815
UNCALIBRATED,WORST_YEAR_LOGLOSS,DENSE,104549.0,52981.0,51568.0,0.5067575969162785,0.5230083501516035,0.5215689103106838,0.5307575372136961,,0.5309131773122656,1.0476669329537014,0.04415281285538191,0.5245271122320303,0.6280742152847247,0.5716494446878141,0.4150636053366429,0.5206645746673478,0.6924006837716619,0.24962310641102045,21404.0,30164.0,19705.0,33276.0,0.5157671857324762,0.6067968129776469,0.0159868453543575,0.09228157504399626,0.01690532772797302,0.03572438962148283,0.5157671857324762,0.5067575969162785
UNCALIBRATED,WORST_YEAR_BRIER,DENSE,104549.0,52981.0,51568.0,0.5067575969162785,0.5230083501516035,0.5215689103106838,0.5307575372136961,,0.5309131773122656,1.0476669329537014,0.04415281285538191,0.5245271122320303,0.6280742152847247,0.5716494446878141,0.4150636053366429,0.5206645746673478,0.6924006837716619,0.24962310641102045,21404.0,30164.0,19705.0,33276.0,0.5157671857324762,0.6067968129776469,0.0159868453543575,0.09228157504399626,0.01690532772797302,0.03572438962148283,0.5157671857324762,0.5067575969162785
UNCALIBRATED,POOLED_2021_2024,NONOVERLAP_OFFSET_00,35007.0,17736.0,17271.0,0.5066415288370897,0.5464907018596281,0.5456319223546883,0.5607658080517356,,0.5553336567488014,1.0961076523345339,0.09204312036149531,0.5469981807155853,0.6102841677943166,0.5769107771026544,0.48097967691505994,0.5458308693081018,0.6876247532151389,0.24724769412482758,8307.0,8964.0,6912.0,10824.0,0.5116673647364747,0.5652583768960494,0.00631880695832727,0.018797480854494786,0.008528706343447016,0.01800862027045419,0.5116673647364747,0.5066415288370897
UNCALIBRATED,FOLD_MACRO_MEAN,NONOVERLAP_OFFSET_00,8751.75,4434.0,4317.75,0.5066356494746823,0.546474362548821,0.5458426618097978,0.5612172514419237,,0.5562065350153562,1.0979057675979649,0.0924652370825782,0.5475207531529112,0.6105328103016763,0.5769224332749424,0.4811525133179192,0.5457348165634253,0.6876268212573107,0.24724872398193432,2076.75,2241.0,1728.0,2706.0,0.5116750720175818,0.5653117504929803,0.011227674179467375,0.14372592674783013,0.01712941909284718,0.037094712413601016,0.5116750720175818,0.5066356494746823
UNCALIBRATED,FOLD_STD,NONOVERLAP_OFFSET_00,29.5,69.86176827612272,60.5660796155736,0.007264865126705415,0.01230643719146797,0.012519702141708089,0.011954545401589663,,0.010355884441737158,0.01881875040522219,0.024830411359786975,0.01557084574613095,0.021637233607856843,0.006287500834532671,0.03821946704293074,0.015075530680796085,0.0022088441966800574,0.0010987127742620145,154.0852037023672,179.94258343519837,122.57514701874383,55.41961145058068,0.0031856990396058873,0.027795447811468123,0.003030844434257866,0.1774775498439488,0.002578721959382158,0.008734138399207569,0.0031856990396058873,0.007264865126705415
UNCALIBRATED,WORST_YEAR_LOGLOSS,NONOVERLAP_OFFSET_00,8712.0,4390.0,4322.0,0.5039026629935721,0.5308769513314968,0.5300948476776655,0.5474937518380822,,0.542531663975807,1.0766596484185034,0.06144017088337208,0.5289619575606959,0.6302961275626424,0.5752000831514397,0.42989356779268856,0.5337546681987935,0.6900809846007347,0.24846995176068803,1858.0,2464.0,1623.0,2767.0,0.5156443266384475,0.6004361799816346,0.01174166364487538,0.12813768888774674,0.018333875330436983,0.044581288659791274,0.5156443266384475,0.5039026629935721
UNCALIBRATED,WORST_YEAR_BRIER,NONOVERLAP_OFFSET_00,8712.0,4390.0,4322.0,0.5039026629935721,0.5308769513314968,0.5300948476776655,0.5474937518380822,,0.542531663975807,1.0766596484185034,0.06144017088337208,0.5289619575606959,0.6302961275626424,0.5752000831514397,0.42989356779268856,0.5337546681987935,0.6900809846007347,0.24846995176068803,1858.0,2464.0,1623.0,2767.0,0.5156443266384475,0.6004361799816346,0.01174166364487538,0.12813768888774674,0.018333875330436983,0.044581288659791274,0.5156443266384475,0.5039026629935721
PLATT,calibration_2021,DENSE,104549.0,52981.0,51568.0,0.5067575969162785,0.5201293173535854,0.5173572251441358,0.5307575372136961,,0.5309131773122656,1.0476669329537014,0.038069963100876986,0.5190594361498718,0.722466544610332,0.6041002493608155,0.3122479056779398,0.522690384989937,0.6923959557578114,0.24962215113538405,16102.0,35466.0,14704.0,38277.0,0.5244198412907345,0.7053439057284144,0.01766224437445614,0.022443617178454334,0.017732254342950976,0.035660819634270924,0.5244198412907345,0.5067575969162785
PLATT,calibration_2021,NONOVERLAP_OFFSET_00,8712.0,4390.0,4322.0,0.5039026629935721,0.5314508723599632,0.5299403697140972,0.5474937518380822,,0.542531663975807,1.0766596484185034,0.06495411284298305,0.5254798146922568,0.7234624145785877,0.6087789917577152,0.33641832484960665,0.5449775112443778,0.6907025708899485,0.2487801540514431,1454.0,2868.0,1214.0,3176.0,0.5243239805105439,0.6937557392102847,0.020421317516971765,0.02825710321006375,0.022997275833725333,0.05192772838169002,0.5243239805105439,0.5039026629935721
PLATT,calibration_2022,DENSE,105108.0,52484.0,52624.0,0.49933401834303764,0.541852190128249,0.5419959308451826,0.5586300576490392,,0.5464349305368412,1.09432746511063,0.086017054553502,0.533878010987463,0.6499123542412926,0.5862083780880774,0.43407950744907264,0.5542130674236359,0.6888258954203326,0.2478445461711335,22843.0,29781.0,18374.0,34110.0,0.5107682281775267,0.60786048635689,0.012133319135848112,0.066906134932888,0.018249128814502642,0.0396071149091089,0.5107682281775267,0.49933401834303764
PLATT,calibration_2022,NONOVERLAP_OFFSET_00,8759.0,4359.0,4400.0,0.49765955017696084,0.5526886630893938,0.5532015266220359,0.5715398913428852,,0.5572664018911815,1.1197743551651431,0.10903985341651527,0.5413153456998314,0.6627666896077082,0.5959158415841584,0.44363636363636366,0.570426651081239,0.687330962705664,0.2471002795140323,1952.0,2448.0,1470.0,2889.0,0.5110497270865395,0.6093161319785364,0.02243861490823361,0.12117616159145961,0.027402457842917716,0.05444848143540737,0.5110497270865395,0.49765955017696084
PLATT,calibration_2023,DENSE,105032.0,53266.0,51766.0,0.507140680935334,0.5416444512148678,0.5411878291362743,0.5519983564716784,,0.5452552280440334,1.075155767504992,0.08254247484199097,0.5458023455377574,0.5731611159088349,0.5591472683650482,0.5092145423637137,0.5369072836890989,0.689174966634517,0.24801456355882817,26360.0,25406.0,22736.0,30530.0,0.5091237391852454,0.532561505065123,0.0027441250641269104,0.0646618006951939,0.0070480019973777055,0.024151492776725236,0.5091237391852454,0.507140680935334
PLATT,calibration_2023,NONOVERLAP_OFFSET_00,8753.0,4494.0,4259.0,0.51342396892494,0.5579801211013367,0.5571732281794317,0.5709195313299211,,0.5677120389702306,1.1057373113276432,0.11453404781556299,0.5671609714162905,0.5872274143302181,0.577019787908604,0.5271190420286452,0.5475609756097561,0.6856497469616198,0.24626586489551577,2245.0,2014.0,1855.0,2639.0,0.5095057933683619,0.5315891694276248,0.015048059333495753,0.018402166265218067,0.016825858880680656,0.037217909247773906,0.5095057933683619,0.51342396892494
PLATT,calibration_2024,DENSE,105396.0,53798.0,51598.0,0.5104368287221527,0.5287297430642529,0.5278106302302563,0.5409103758694245,,0.5452194014786056,1.0681427569470818,0.0558318292672696,0.5359581881533101,0.5718428194356667,0.5533193043040342,0.4837784410248459,0.5200850070839237,0.6906968781289085,0.24877665122420714,24962.0,26636.0,23034.0,30764.0,0.5054714245242723,0.544612698774147,0.005259437345616026,0.009387259575943663,0.01167116364607745,0.02895368653676722,0.5054714245242723,0.5104368287221527
PLATT,calibration_2024,NONOVERLAP_OFFSET_00,8783.0,4493.0,4290.0,0.5115564158032563,0.5404759193897302,0.5395615401736034,0.5549158312568061,,0.5573160352242059,1.0894517554805698,0.07936240993491538,0.5481356646302928,0.5791230803472067,0.5632034632034632,0.5,0.5314667988107037,0.689393052330758,0.2481257010993787,2145.0,2145.0,1891.0,2602.0,0.5055639560908624,0.5404759193897302,0.0165327214952749,0.020838283815773684,0.024711333479249843,0.04855403108173839,0.5055639560908624,0.5115564158032563
